irumeng	iru(N)^[Abl_Mod.Sg]
kalereqiteki	kalereqe(V)^[Opt.Pres.Trns]^[2Pl.3Pl]
yuvghiiq	yuvghiigh(V)^[Abs.Sg]
nakut	nakut(WH)
tawatelkutat	tawate(V)^–lgute(V→V)^[Abs.Pl]
tawatelkutat	tawate(V)^–lgute(V→V)^[Abs.Pl]
kalereqiteggu	kalereqe(V)^[Opt.Pres.Trns]^[2Pl.3Sg]
aatkalghii	aatkagh(N)^[Ptcp.Intr]^[3Sg]
Salimeng	Sali(N)^[Abl_Mod.Sg]
pitngunghillnguq	pitngu(V)^@–nghite(V→V)^[Ptcp.Intr]^[3Sg]
pitngunghillnguq	pitngu(V)^@–nghite(V→V)^[Ptcp.Intr]^[3Sg]
pitngunghilnguq	pitngu(V)^@–nghite(V→V)^[Ptcp.Intr]^[3Sg]
esqhaghteki	esghagh(V)^[Opt.Pres.Trns]^[2Pl.3Pl]
qafsinwaat	qafsineg(WH)^~:(ng)u(N→V)^[Ind.Trns]^[3Pl.3Sg]
yalumeng	yalu(N)^[Abl_Mod.Sg]
natu	natu(WH)
piitesaghaq	piitesighagh(N)^[Abs.Sg]
piitesiighaq	piitesighagh(N)^[Abs.Sg]
ighal	ighaleqetaagh(N)^[Abl_Mod.Sg]
eqetaaghmeng	ighaleqetaagh(N)^[Abl_Mod.Sg]
piitesiighaghmeng	piitesighagh(N)^[Abl_Mod.Sg]
tawatekullghiik	tawate(V)^~–ke(N→V)^[Ptcp.Intr]^[3Du]
tawatekullghiik	tawate(V)^~–ke(N→V)^[Ptcp.Intr]^[3Du]
Mirim	Miri(N)^[Rel.Sg]
Jimim	Jimi(N)^[Rel.Sg]
qerngughhnemki	qerngughte(V)^[Ctmp.Trns]^[1Sg.3Pl]
kumegaasiq	kumegagh(V)^~:(u)sigh(V→N)^[Abs.Sg]
ullqhitaghaquq	ullghitagh(V)^~(g)aqe(V→V)^[Ind.Intr]^[3Sg]
upenghaam	upenghagh(N)^[Rel.Sg]
kalernga	kalere(N)^[Abs.3SgPoss.Sg]
pingayuneng-inglulek	pingayunengingluleg(NUM)
estamaneng-inglulek	estamanengingluleg(NUM)
lleghlleq	llegh(V)^–llegh(V→N)^[Abs.Sg]
nine	nine(NUM)
lleghlleghmeta	llegh(V)^–llegh(V→N)^~fmete(N→V)^[Abs.Sg]
maligsaaghleki	maligsaagh(V)^[Opt.Pres.Trns]^[1Pl.3Pl]
allaaghhiinagut	allaghhiinagh(PTCL)^[Ind.Intr]^[3Pl]
allaaghhiinagut	allaghhiinagh(PTCL)^[Ind.Intr]^[3Pl]
allaaghhiinagut	allaghhiinagh(PTCL)^[Ind.Intr]^[3Pl]
kalerngit	kalere(N)^[Abs.3PlPoss.Pl]
kalereqnaakesi	kalereqe(V)^[Opt.Fut.Trns]^[2Pl.3Pl]
kalereqnaakesi	kalereqe(V)^[Opt.Fut.Trns]^[2Pl.3Pl]
X	X
unaghsighwaat	unaghsigh(N)^––igh(N→V)^[Ind.Trns]^[3Pl.3Sg]
tagitugughusimakangi	tagitug(N)^~:(ng)ughte(N→V)^@~:(i/u)ma(V→V)^[Ptcp.Trns]^[3Sg.3Pl]
tespaganlluki	[Anaphor]^paagna(DEM.PRO.Abs.Sg)^[Sbrd.Trns]^[_.3Pl]
tespaganlluki	[Anaphor]^paagna(DEM.PRO.Abs.Sg)^[Sbrd.Trns]^[_.3Pl]
uyavaghaghllagumalghii	uyavagh(V)^–ghllagu(V→V)^@~:(i/u)ma(V→V)^[Ptcp.Intr]^[3Sg]
uyavaghaghllagumalghii	uyavagh(V)^–ghllagu(V→V)^@~:(i/u)ma(V→V)^[Ptcp.Intr]^[3Sg]
ivanghiighusimayaqangat	ivagh(V)^@–nghite(V→V)^@~:(i/u)ma(V→V)^@~fyagh(V→V)^@~–(g)kagh(V→N)^[Abs.3PlPoss.Sg]
ivanghiighusimayaqangat	ivagh(V)^@–nghite(V→V)^@~:(i/u)ma(V→V)^@~fyagh(V→V)^@~–(g)kagh(V→N)^[Abs.3PlPoss.Sg]
ivanghiighusimayaqangat	ivagh(V)^@–nghite(V→V)^@~:(i/u)ma(V→V)^@~fyagh(V→V)^@~–(g)kagh(V→N)^[Abs.3PlPoss.Sg]
asghaamakanga	esghagh(V)^@~:(i/u)ma(V→V)^[Ptcp.Trns]^[3Sg.3Sg]
taamnguq	taam(PTCL)^=nguq
taamnguq	taam(PTCL)^=nguq
piniqsaliiteghllagumakangak	piniqe(V)^@~fyagh(V→V)^−liite(V→V)^–ghllag(V→V)^@~:(i/u)ma(V→V)^[Ptcp.Trns]^[3Du.3Sg]
